term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
not,1,adventure,Adventure,10563.992077005943,871.8326859269364,608,18,57554,18,1,adventure:complement,U - Adventure,9692.159391079007,3871,128,399395,128,deviation,871.8326859269364,-5013.021267719306,5013.021267719306,shared,1,1,False
not,1,romance,Romance,13676.891020981731,4729.265346905006,1129,23,82548,23,2,romance:complement,U - Romance,8947.625674076726,3350,123,374401,123,deviation,4729.265346905006,-5013.021267719306,5013.021267719306,shared,1,2,True
not,1,humor,Humor,10773.782214558052,1127.8229521005924,681,21,63209,21,3,humor:complement,U - Humor,9645.95926245746,3798,125,393740,125,deviation,1127.8229521005924,-5013.021267719306,5013.021267719306,shared,1,3,False
said,2,adventure,Adventure,4621.7465336901,-3968.7465871551785,266,18,57554,18,1,adventure:complement,U - Adventure,8590.493120845278,3431,128,399395,128,deviation,-3968.7465871551785,-5013.021267719306,5013.021267719306,shared,1,1,True
said,2,romance,Romance,9388.477007316955,1584.01067309242,775,23,82548,23,2,romance:complement,U - Romance,7804.466334224535,2922,123,374401,123,deviation,1584.01067309242,-5013.021267719306,5013.021267719306,shared,1,2,False
said,2,humor,Humor,10378.268917401003,2654.898165127929,656,21,63209,21,3,humor:complement,U - Humor,7723.370752273074,3041,125,393740,125,deviation,2654.898165127929,-5013.021267719306,5013.021267719306,shared,1,3,False
man,3,adventure,Adventure,8114.118914410815,3066.4843671580957,467,18,57554,18,1,adventure:complement,U - Adventure,5047.634547252719,2016,118,399395,128,deviation,3066.4843671580957,-5013.021267719306,5013.021267719306,shared,1,1,True
man,3,romance,Romance,3888.646605611281,-1885.9106204645045,321,23,82548,23,2,romance:complement,U - Romance,5774.557226075785,2162,113,374401,123,deviation,-1885.9106204645045,-5013.021267719306,5013.021267719306,shared,1,2,True
man,3,humor,Humor,6075.0842443322945,744.1552048646263,384,20,63209,21,3,humor:complement,U - Humor,5330.929039467668,2099,116,393740,125,deviation,744.1552048646263,-5013.021267719306,5013.021267719306,shared,1,3,False
mrs,4,adventure,Adventure,364.8747263439553,-774.3483485568322,21,5,57554,18,1,adventure:complement,U - Adventure,1139.2230749007874,455,43,399395,128,deviation,-774.3483485568322,-5013.021267719306,5013.021267719306,shared,1,1,False
