term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
not,1,fantasy,U - Fantasy,9574.96661949045,-227.00252805117998,4066,126,424649,126,1,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-227.00252805117998,-1152.842404804007,1152.842404804007,shared,1,1,False
not,1,horror,U - Horror,10214.496617733595,412.52747019196613,3923,126,384062,126,2,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,412.52747019196613,-1152.842404804007,1152.842404804007,shared,1,2,False
not,1,science_fiction,U - Science Fiction,9996.779228501351,194.81008095972174,4035,126,403630,126,3,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,194.81008095972174,-1152.842404804007,1152.842404804007,shared,1,3,False
said,2,fantasy,U - Fantasy,7457.92407376445,-632.6943541126211,3167,126,424649,126,1,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,-632.6943541126211,-1152.842404804007,1152.842404804007,shared,1,1,False
said,2,horror,U - Horror,9178.205602220474,1087.5871743434027,3525,126,384062,126,2,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,1087.5871743434027,-1152.842404804007,1152.842404804007,shared,1,2,True
said,2,science_fiction,U - Science Fiction,8044.496197012115,-46.12223086495669,3247,126,403630,126,3,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,-46.12223086495669,-1152.842404804007,1152.842404804007,shared,1,3,False
there,3,fantasy,U - Fantasy,7474.408276011482,-250.74267081190555,3174,126,424649,126,1,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,-250.74267081190555,-1152.842404804007,1152.842404804007,shared,1,1,False
there,3,horror,U - Horror,8040.368482172148,315.217535348761,3088,126,384062,126,2,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,315.217535348761,-1152.842404804007,1152.842404804007,shared,1,2,False
there,3,science_fiction,U - Science Fiction,7566.3355052894985,-158.8154415338886,3054,126,403630,126,3,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,-158.8154415338886,-1152.842404804007,1152.842404804007,shared,1,3,False
all,4,fantasy,U - Fantasy,7267.178304905934,-280.7099714662654,3086,125,424649,126,1,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,-280.7099714662654,-1152.842404804007,1152.842404804007,shared,1,1,False
all,4,horror,U - Horror,7962.256094068145,414.36781769594563,3058,125,384062,126,2,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,414.36781769594563,-1152.842404804007,1152.842404804007,shared,1,2,False
all,4,science_fiction,U - Science Fiction,7457.324777642891,-90.56349872930878,3010,126,403630,126,3,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,-90.56349872930878,-1152.842404804007,1152.842404804007,shared,1,3,False
one,5,fantasy,U - Fantasy,6216.899133166451,-293.6742568617583,2640,126,424649,126,1,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,-293.6742568617583,-1152.842404804007,1152.842404804007,shared,1,1,False
one,5,horror,U - Horror,6834.833959100353,324.2605690721439,2625,126,384062,126,2,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,324.2605690721439,-1152.842404804007,1152.842404804007,shared,1,2,False
one,5,science_fiction,U - Science Fiction,6614.969154919108,104.39576489089904,2670,126,403630,126,3,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,104.39576489089904,-1152.842404804007,1152.842404804007,shared,1,3,False
out,6,fantasy,U - Fantasy,5632.88739641445,-61.40233832618742,2392,125,424649,126,1,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,-61.40233832618742,-1152.842404804007,1152.842404804007,shared,1,1,False
out,6,horror,U - Horror,5902.692794392572,208.4030596519342,2267,125,384062,126,2,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,208.4030596519342,-1152.842404804007,1152.842404804007,shared,1,2,False
out,6,science_fiction,U - Science Fiction,5524.861878453038,-169.42785628759975,2230,125,403630,126,3,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,-169.42785628759975,-1152.842404804007,1152.842404804007,shared,1,3,True
man,7,fantasy,U - Fantasy,5510.433322579354,76.56652343984388,2340,123,424649,126,1,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,76.56652343984388,-1152.842404804007,1152.842404804007,shared,1,1,False
man,7,horror,U - Horror,5923.52276455364,489.65596541412924,2275,117,384062,126,2,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,489.65596541412924,-1152.842404804007,1152.842404804007,shared,1,2,False
man,7,science_fiction,U - Science Fiction,5656.170254936452,222.3034557969413,2283,117,403630,126,3,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,222.3034557969413,-1152.842404804007,1152.842404804007,shared,1,3,True
then,8,fantasy,U - Fantasy,4749.80513318058,-268.26034020922907,2017,126,424649,126,1,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,-268.26034020922907,-1152.842404804007,1152.842404804007,shared,1,1,False
then,8,horror,U - Horror,5191.870062646135,173.80458925632593,1994,126,384062,126,2,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,173.80458925632593,-1152.842404804007,1152.842404804007,shared,1,2,False
then,8,science_fiction,U - Science Fiction,4979.808240220003,-38.25723316980566,2010,126,403630,126,3,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,-38.25723316980566,-1152.842404804007,1152.842404804007,shared,1,3,False
like,9,fantasy,U - Fantasy,4985.293736709612,52.57695650000369,2117,125,424649,126,1,reference,Full 146-story sample,4932.716780209608,2254,142,456949,146,deviation,52.57695650000369,-1152.842404804007,1152.842404804007,shared,1,1,False
like,9,horror,U - Horror,5147.6063760538655,214.8895958442572,1977,122,384062,126,2,reference,Full 146-story sample,4932.716780209608,2254,142,456949,146,deviation,214.8895958442572,-1152.842404804007,1152.842404804007,shared,1,2,False
like,9,science_fiction,U - Science Fiction,4964.943140995467,32.22636078585856,2004,122,403630,126,3,reference,Full 146-story sample,4932.716780209608,2254,142,456949,146,deviation,32.22636078585856,-1152.842404804007,1152.842404804007,shared,1,3,False
would,10,fantasy,U - Fantasy,4785.128423709934,36.239598042299804,2032,124,424649,126,1,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,36.239598042299804,-1152.842404804007,1152.842404804007,shared,1,1,False
would,10,horror,U - Horror,4855.9867937989175,107.09796813128287,1865,123,384062,126,2,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,107.09796813128287,-1152.842404804007,1152.842404804007,shared,1,2,False
would,10,science_fiction,U - Science Fiction,4744.444169164829,-4.444656502805628,1915,124,403630,126,3,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,-4.444656502805628,-1152.842404804007,1152.842404804007,shared,1,3,False
been,11,fantasy,U - Fantasy,4632.060831416064,132.6528011982491,1967,126,424649,126,1,reference,Full 146-story sample,4499.4080302178145,2056,143,456949,146,deviation,132.6528011982491,-1152.842404804007,1152.842404804007,shared,1,1,True
been,11,horror,U - Horror,4543.537241382902,44.12921116508733,1745,123,384062,126,2,reference,Full 146-story sample,4499.4080302178145,2056,143,456949,146,deviation,44.12921116508733,-1152.842404804007,1152.842404804007,shared,1,2,False
