term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
not,1,fantasy,Fantasy,12786.377708978329,2984.4085614366995,413,20,32300,20,1,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,2984.4085614366995,-8834.883377484586,8834.883377484586,shared,1,1,False
not,1,horror,Horror,7628.24646370409,-2173.722683837539,556,20,72887,20,2,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-2173.722683837539,-8834.883377484586,8834.883377484586,shared,1,2,False
not,1,science_fiction,Science Fiction,8327.237945197772,-1474.7312023438571,444,20,53319,20,3,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-1474.7312023438571,-8834.883377484586,8834.883377484586,shared,1,3,False
said,2,fantasy,Fantasy,16408.668730650155,8318.050302773085,530,20,32300,20,1,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,8318.050302773085,-8834.883377484586,8834.883377484586,shared,1,1,False
said,2,horror,Horror,2359.817251361697,-5730.801176515375,172,20,72887,20,2,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,-5730.801176515375,-8834.883377484586,8834.883377484586,shared,1,2,True
said,2,science_fiction,Science Fiction,8439.768187700443,349.1497598233718,450,20,53319,20,3,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,349.1497598233718,-8834.883377484586,8834.883377484586,shared,1,3,False
there,3,fantasy,Fantasy,11021.671826625387,3296.5208798019994,356,20,32300,20,1,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,3296.5208798019994,-8834.883377484586,8834.883377484586,shared,1,1,False
there,3,horror,Horror,6064.181541289941,-1660.9694055334458,442,20,72887,20,2,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,-1660.9694055334458,-8834.883377484586,8834.883377484586,shared,1,2,False
there,3,science_fiction,Science Fiction,8927.39923854536,1202.2482917219731,476,20,53319,20,3,reference,Full 146-story sample,7725.150946823387,3530,146,456949,146,deviation,1202.2482917219731,-8834.883377484586,8834.883377484586,shared,1,3,False
all,4,fantasy,Fantasy,11238.390092879257,3690.501816507058,363,20,32300,20,1,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,3690.501816507058,-8834.883377484586,8834.883377484586,shared,1,1,False
all,4,horror,Horror,5364.468286525718,-2183.4199898464813,391,20,72887,20,2,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,-2183.4199898464813,-8834.883377484586,8834.883377484586,shared,1,2,False
all,4,science_fiction,Science Fiction,8233.462743112212,685.5744667400122,439,19,53319,20,3,reference,Full 146-story sample,7547.8882763721995,3449,145,456949,146,deviation,685.5744667400122,-8834.883377484586,8834.883377484586,shared,1,3,False
one,5,fantasy,Fantasy,10371.517027863778,3860.9436378355686,335,20,32300,20,1,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,3860.9436378355686,-8834.883377484586,8834.883377484586,shared,1,1,False
one,5,horror,Horror,4801.953709166243,-1708.6196808619661,350,20,72887,20,2,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,-1708.6196808619661,-8834.883377484586,8834.883377484586,shared,1,2,False
one,5,science_fiction,Science Fiction,5720.28732721919,-790.2860628090193,305,20,53319,20,3,reference,Full 146-story sample,6510.573390028209,2975,146,456949,146,deviation,-790.2860628090193,-8834.883377484586,8834.883377484586,shared,1,3,False
out,6,fantasy,Fantasy,6501.547987616099,807.258252875461,210,20,32300,20,1,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,807.258252875461,-8834.883377484586,8834.883377484586,shared,1,1,False
out,6,horror,Horror,4596.155693059119,-1098.1340416815192,335,20,72887,20,2,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,-1098.1340416815192,-8834.883377484586,8834.883377484586,shared,1,2,False
out,6,science_fiction,Science Fiction,6976.875035165701,1282.585300425063,372,20,53319,20,3,reference,Full 146-story sample,5694.289734740638,2602,145,456949,146,deviation,1282.585300425063,-8834.883377484586,8834.883377484586,shared,1,3,True
man,7,fantasy,Fantasy,4427.244582043343,-1006.6222170961673,143,13,32300,20,1,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,-1006.6222170961673,-8834.883377484586,8834.883377484586,shared,1,1,False
man,7,horror,Horror,2853.7324900187964,-2580.134309120714,208,19,72887,20,2,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,-2580.134309120714,-8834.883377484586,8834.883377484586,shared,1,2,False
man,7,science_fiction,Science Fiction,3751.0080834224195,-1682.858715717091,200,19,53319,20,3,reference,Full 146-story sample,5433.8667991395105,2483,136,456949,146,deviation,-1682.858715717091,-8834.883377484586,8834.883377484586,shared,1,3,True
then,8,fantasy,Fantasy,8544.891640866872,3526.826167477063,276,20,32300,20,1,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,3526.826167477063,-8834.883377484586,8834.883377484586,shared,1,1,False
then,8,horror,Horror,4102.240454402019,-915.8250189877899,299,20,72887,20,2,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,-915.8250189877899,-8834.883377484586,8834.883377484586,shared,1,2,False
then,8,science_fiction,Science Fiction,5307.676438042724,289.61096465291484,283,20,53319,20,3,reference,Full 146-story sample,5018.065473389809,2293,146,456949,146,deviation,289.61096465291484,-8834.883377484586,8834.883377484586,shared,1,3,False
like,9,fantasy,Fantasy,4241.486068111455,-691.2307120981532,137,17,32300,20,1,reference,Full 146-story sample,4932.716780209608,2254,142,456949,146,deviation,-691.2307120981532,-8834.883377484586,8834.883377484586,shared,1,1,False
