term,display_order,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator
not,1,9801.96914754163,4479,146,456949,146,adventure,Adventure,9637.102845956935,-164.86630158469416,192,6,19923,6
not,1,9801.96914754163,4479,146,456949,146,fantasy,Fantasy,12786.377708978329,2984.4085614366995,413,20,32300,20
not,1,9801.96914754163,4479,146,456949,146,horror,Horror,7628.24646370409,-2173.722683837539,556,20,72887,20
not,1,9801.96914754163,4479,146,456949,146,humor,Humor,11191.088260497001,1389.1191129553717,653,20,58350,20
not,1,9801.96914754163,4479,146,456949,146,mystery,Mystery,8184.243236826301,-1617.7259107153286,586,20,71601,20
not,1,9801.96914754163,4479,146,456949,146,romance,Romance,14374.958017061866,4572.988869520237,1070,20,74435,20
not,1,9801.96914754163,4479,146,456949,146,science_fiction,Science Fiction,8327.237945197772,-1474.7312023438571,444,20,53319,20
not,1,9801.96914754163,4479,146,456949,146,western,Western,7621.334340518521,-2180.634807023109,565,20,74134,20
said,2,8090.618427877072,3697,146,456949,146,adventure,Adventure,3814.6865431912865,-4275.931884685785,76,6,19923,6
said,2,8090.618427877072,3697,146,456949,146,fantasy,Fantasy,16408.668730650155,8318.050302773085,530,20,32300,20
said,2,8090.618427877072,3697,146,456949,146,horror,Horror,2359.817251361697,-5730.801176515375,172,20,72887,20
said,2,8090.618427877072,3697,146,456949,146,humor,Humor,11088.260497000856,2997.6420691237845,647,20,58350,20
said,2,8090.618427877072,3697,146,456949,146,mystery,Mystery,11536.151729724446,3445.533301847375,826,20,71601,20
said,2,8090.618427877072,3697,146,456949,146,romance,Romance,9592.261704843153,1501.6432769660814,714,20,74435,20
said,2,8090.618427877072,3697,146,456949,146,science_fiction,Science Fiction,8439.768187700443,349.1497598233718,450,20,53319,20
said,2,8090.618427877072,3697,146,456949,146,western,Western,3803.9226265950847,-4286.695801281987,282,20,74134,20
there,3,7725.150946823387,3530,146,456949,146,adventure,Adventure,7679.566330371932,-45.58461645145508,153,6,19923,6
there,3,7725.150946823387,3530,146,456949,146,fantasy,Fantasy,11021.671826625387,3296.5208798019994,356,20,32300,20
there,3,7725.150946823387,3530,146,456949,146,horror,Horror,6064.181541289941,-1660.9694055334458,442,20,72887,20
there,3,7725.150946823387,3530,146,456949,146,humor,Humor,8174.807197943445,449.6562511200582,477,20,58350,20
there,3,7725.150946823387,3530,146,456949,146,mystery,Mystery,8016.647812181393,291.4968653580063,574,20,71601,20
there,3,7725.150946823387,3530,146,456949,146,romance,Romance,6784.442802445086,-940.7081443783009,505,20,74435,20
there,3,7725.150946823387,3530,146,456949,146,science_fiction,Science Fiction,8927.39923854536,1202.2482917219731,476,20,53319,20
there,3,7725.150946823387,3530,146,456949,146,western,Western,7378.530768608196,-346.6201782151911,547,20,74134,20
all,4,7547.8882763721995,3449,145,456949,146,adventure,Adventure,5972.996034733725,-1574.8922416384748,119,6,19923,6
all,4,7547.8882763721995,3449,145,456949,146,fantasy,Fantasy,11238.390092879257,3690.501816507058,363,20,32300,20
all,4,7547.8882763721995,3449,145,456949,146,horror,Horror,5364.468286525718,-2183.4199898464813,391,20,72887,20
all,4,7547.8882763721995,3449,145,456949,146,humor,Humor,8603.25621251071,1055.3679361385111,502,20,58350,20
all,4,7547.8882763721995,3449,145,456949,146,mystery,Mystery,7444.030111311295,-103.85816506090487,533,20,71601,20
all,4,7547.8882763721995,3449,145,456949,146,romance,Romance,8302.545845368442,754.6575689962428,618,20,74435,20
all,4,7547.8882763721995,3449,145,456949,146,science_fiction,Science Fiction,8233.462743112212,685.5744667400122,439,19,53319,20
all,4,7547.8882763721995,3449,145,456949,146,western,Western,6528.71826692206,-1019.1700094501393,484,20,74134,20
one,5,6510.573390028209,2975,146,456949,146,adventure,Adventure,5872.609546755007,-637.9638432732027,117,6,19923,6
one,5,6510.573390028209,2975,146,456949,146,fantasy,Fantasy,10371.517027863778,3860.9436378355686,335,20,32300,20
one,5,6510.573390028209,2975,146,456949,146,horror,Horror,4801.953709166243,-1708.6196808619661,350,20,72887,20
one,5,6510.573390028209,2975,146,456949,146,humor,Humor,7437.874892887746,927.3015028595364,434,20,58350,20
one,5,6510.573390028209,2975,146,456949,146,mystery,Mystery,7555.760394407899,1045.1870043796898,541,20,71601,20
one,5,6510.573390028209,2975,146,456949,146,romance,Romance,6676.966480822194,166.3930907939848,497,20,74435,20
one,5,6510.573390028209,2975,146,456949,146,science_fiction,Science Fiction,5720.28732721919,-790.2860628090193,305,20,53319,20
one,5,6510.573390028209,2975,146,456949,146,western,Western,5341.67858202714,-1168.8948080010696,396,20,74134,20
out,6,5694.289734740638,2602,145,456949,146,adventure,Adventure,7077.247402499624,1382.9576677589857,141,6,19923,6
out,6,5694.289734740638,2602,145,456949,146,fantasy,Fantasy,6501.547987616099,807.258252875461,210,20,32300,20
out,6,5694.289734740638,2602,145,456949,146,horror,Horror,4596.155693059119,-1098.1340416815192,335,20,72887,20
out,6,5694.289734740638,2602,145,456949,146,humor,Humor,6478.149100257069,783.8593655164314,378,19,58350,20
out,6,5694.289734740638,2602,145,456949,146,mystery,Mystery,5488.75015712071,-205.5395776199275,393,20,71601,20
out,6,5694.289734740638,2602,145,456949,146,romance,Romance,3801.9748774098207,-1892.3148573308172,283,20,74435,20
