rank,term,non_horror_complement_rate_per_million,horror_rate_per_million,horror_vs_complement_percent,non_humor_complement_rate_per_million,humor_rate_per_million,humor_vs_complement_percent
1,said,11952.069658,2953.347413,-75.290075,9867.739932,14678.191429,48.749273
2,man,7713.747084,3571.489895,-53.699676,6820.064189,8507.452528,24.741532
3,like,6703.330982,4756.262985,-29.046276,6354.177451,6579.096622,3.539706
4,old,4570.607063,4378.509246,-4.202895,4438.865307,5240.590758,18.061495
5,little,4814.734444,2043.304315,-57.561433,4471.218553,3561.786792,-20.339685
6,did,4594.341670,2970.518038,-35.343989,4205.921938,5172.531137,22.982100
7,time,4160.337438,3708.854891,-10.852066,3937.389999,5127.158057,30.217176
8,know,4475.668638,2094.816188,-53.195458,3930.919350,5149.844597,31.008656
9,don,3804.318342,1201.943715,-68.405806,3118.852883,5172.531137,65.847231
10,come,3414.392665,1923.109944,-43.676368,2905.321462,5013.725357,72.570417
11,came,3261.813053,2403.887429,-26.302109,3128.558857,3062.682910,-2.105632
12,got,3468.643194,1253.455588,-63.863231,2876.203541,4696.113796,63.274738
13,just,3251.641079,1923.109944,-40.857250,2782.379128,4786.859956,72.041973
14,went,3227.906472,1682.721201,-47.869580,2872.968216,3675.219492,27.924126
15,way,2966.825802,1785.744948,-39.809579,2575.318356,4151.636834,61.208684
16,eyes,2736.261054,2884.664915,5.423600,2830.908997,2268.654008,-19.861288
17,good,3085.498834,1030.237470,-66.610343,2481.493943,4605.367635,85.588510
18,away,2763.386318,2077.645564,-24.815233,2614.142251,2903.877130,11.083363
19,think,2854.934086,1425.161833,-50.080745,2335.904338,4605.367635,97.155661
20,say,2810.855531,1287.796837,-54.184880,2293.845119,4423.875315,92.858501
