rank,term,non_mystery_complement_rate_per_million,mystery_rate_per_million,mystery_vs_complement_percent,non_romance_complement_rate_per_million,romance_rate_per_million,romance_vs_complement_percent
1,said,9633.613964,14977.877711,55.475170,10052.368018,12654.862551,25.889368
2,man,6355.299494,10680.351055,68.054252,7390.158587,5139.930168,-30.448987
3,like,6080.149252,8014.796547,31.819076,6746.510484,4466.422077,-33.796559
4,old,4902.371996,2574.889389,-47.476663,4724.579270,3562.503323,-24.596390
5,little,4375.559948,4261.260608,-2.612222,4114.630020,5636.199287,36.979492
6,did,4328.583077,4315.659679,-0.298560,4043.862428,5813.438259,43.759546
7,time,4241.340317,3245.811271,-23.472039,4087.670937,4076.496340,-0.273373
8,know,3935.990658,4877.783419,23.927718,3936.026096,4856.347814,23.382002
9,don,3362.201739,3445.274534,2.470786,3353.035930,3491.607735,4.132727
10,come,3217.915636,2901.283818,-9.839656,3110.404184,3473.883838,11.685930
11,came,3030.008154,3608.471749,19.091156,3218.240515,2605.412878,-19.042319
12,got,3181.005238,2683.687532,-15.633979,3383.364898,1630.598536,-51.805419
13,just,3013.230700,3137.013128,4.107964,3133.993382,2499.069495,-20.259261
14,went,2811.901255,3844.201059,36.711809,3063.225789,2499.069495,-18.417065
15,way,2781.701838,2719.953579,-2.219801,2837.443470,2428.173907,-14.423884
16,eyes,2764.924384,2738.086603,-0.970652,2621.770807,3491.607735,33.177459
17,good,2758.213403,2683.687532,-2.701962,2655.469661,3225.749278,21.475659
18,away,2734.724967,2194.095887,-19.769048,2736.346909,2197.763244,-19.682580
19,think,2583.727883,2810.618699,8.781529,2352.179979,4023.324649,71.046633
20,say,2593.794355,2375.426126,-8.418872,2429.687342,3243.473175,33.493438
