rank,term,sample_rate_per_million,non_sf_rate_per_million,science_fiction_rate_per_million,sf_vs_sample_percent,sf_vs_non_sf_percent
1,said,10468.135471,10412.624706,10886.921179,4.000576,4.555014
2,man,7030.668211,7321.226426,4838.631635,-31.178211,-33.909548
3,like,6382.249757,6426.516757,6048.289544,-5.232641,-5.885416
4,old,4538.929175,4621.063197,3919.291624,-13.651624,-15.186366
5,little,4357.711791,4582.581061,2661.247399,-38.930165,-41.926889
6,did,4326.565053,4435.066205,3508.007935,-18.919330,-20.902918
7,time,4085.885714,3925.177900,5298.301640,29.673271,34.982459
8,know,4083.054192,4181.725475,3338.655828,-18.231410,-20.160808
9,don,3375.173785,3344.739011,3604.780568,6.802814,7.774644
10,come,3168.472706,3309.463719,2104.804761,-33.570368,-36.400428
11,came,3120.336838,3258.154204,2080.611603,-33.320929,-36.141402
12,got,3103.347708,3184.396776,2491.895292,-19.702994,-21.746709
13,just,3032.559667,2934.262891,3774.132675,24.453699,28.622854
14,went,2973.097713,3075.364057,2201.577394,-25.950049,-28.412463
15,way,2772.059677,2725.817986,3120.917405,12.584784,14.494710
16,eyes,2760.733591,2873.332842,1911.259496,-30.769868,-33.482837
17,good,2746.575982,2844.471239,2008.032129,-26.889620,-29.405785
18,away,2650.304247,2636.026335,2758.020032,4.064280,4.627939
19,think,2619.157509,2703.370073,1983.838970,-24.256599,-26.616079
20,say,2559.695555,2671.301626,1717.714230,-32.893807,-35.697481
