rank,term,non_sf_complement_rate_per_million,science_fiction_rate_per_million,science_fiction_vs_complement_percent,non_fantasy_complement_rate_per_million,fantasy_rate_per_million,fantasy_vs_complement_percent
1,said,10412.624706,10886.921179,4.555014,9619.940950,22124.817366,129.989118
2,man,7321.226426,4838.631635,-33.909548,7107.881851,5969.526195,-16.015399
3,like,6426.516757,6048.289544,-5.885416,6430.506786,5719.056564,-11.063673
4,old,4621.063197,3919.291624,-15.186366,4079.438174,10853.683991,166.058303
5,little,4582.581061,2661.247399,-41.926889,3526.602918,15779.586725,347.444385
6,did,4435.066205,3508.007935,-20.902918,4340.668019,4132.748904,-4.790026
7,time,3925.177900,5298.301640,34.982459,4188.790202,2671.676059,-36.218432
8,know,4181.725475,3338.655828,-20.160808,4033.874828,4758.922981,17.973987
9,don,3344.739011,3604.780568,7.774644,3538.753144,1127.113338,-68.149422
10,come,3309.463719,2104.804761,-36.400428,3107.420143,4007.514089,28.965956
11,came,3258.154204,2080.611603,-36.141402,2885.678529,6345.230641,119.886955
12,got,3184.396776,2491.895292,-21.746709,3162.096157,2295.971613,-27.390835
13,just,2934.262891,3774.132675,28.622854,2995.030558,3548.319766,18.473575
14,went,3075.364057,2201.577394,-28.412463,2794.551839,5426.841995,94.193642
15,way,2725.817986,3120.917405,14.494710,2837.077628,1878.522229,-33.786717
16,eyes,2873.332842,1911.259496,-33.482837,2785.439170,2421.206429,-13.076313
17,good,2844.471239,2008.032129,-29.405785,2670.012029,3798.789397,42.276115
18,away,2636.026335,2758.020032,4.627939,2603.185789,3297.850136,26.685162
19,think,2703.370073,1983.838970,-26.616079,2685.199810,1711.542475,-36.260145
20,say,2671.301626,1717.714230,-35.697481,2575.847782,2337.716552,-9.244771
