rank,term,non_western_complement_rate_per_million,western_rate_per_million,western_vs_complement_percent,non_adventure_complement_rate_per_million,adventure_rate_per_million,adventure_vs_complement_percent
1,said,11598.485234,4801.471089,-58.602602,10715.934515,4980.667147,-53.520926
2,man,6357.939783,10403.187360,63.625132,7149.875114,4390.851301,-38.588420
3,like,5899.434510,8802.696997,49.212556,6407.069380,5832.623370,-8.965815
4,old,4472.973661,4869.577062,8.866661,4548.575352,4325.316207,-4.908331
5,little,4632.601423,2979.636314,-35.681142,4415.403009,3080.149420,-30.240809
6,did,4357.498259,4171.490840,-4.268675,4308.865135,4718.526771,9.507414
7,time,4051.828078,4256.623306,5.054391,4095.789386,3866.570549,-5.596451
8,know,3956.730688,4716.338623,19.197868,4205.286646,1376.236975,-67.273646
9,don,3022.738465,5142.000953,70.110680,3441.765214,1900.517727,-44.780727
10,come,3145.006538,3286.113192,4.486689,3151.745446,3538.895078,12.283658
11,came,3195.951568,2741.265409,-14.226941,3018.573103,5373.877712,78.027085
12,got,2615.178223,5550.636791,112.246980,2971.222936,6029.228652,102.920776
13,just,3151.799209,2434.788531,-22.749250,3021.532488,3276.754702,8.446780
14,went,3036.323807,2656.132943,-12.521420,2929.791541,3932.105643,34.211106
15,way,2652.537912,3371.245658,27.095098,2799.578584,2162.658103,-22.750584
16,eyes,2737.446295,2877.477355,5.115390,2728.553334,3473.359984,27.296760
17,good,2774.805984,2605.053463,-6.117636,2722.634563,3276.754702,20.352351
18,away,2482.721144,3490.431111,40.588931,2639.771772,2883.544138,9.234600
19,think,2808.769338,1668.596336,-40.593330,2630.893616,2359.263386,-10.324638
20,say,2520.080833,2758.291902,9.452517,2583.543450,2031.587915,-21.364283
