story_name,model,tokens,events,scenes,sequels,nones,paragraphs
The Quest of Iranon by H. P. Lovecraft,gpt-4o,3742,18,8,3,7,29
The Quest of Iranon by H. P. Lovecraft,gpt-3.5-turbo,3776,9,6,2,1,29
The Thing on the Door-Step by H. P. Lovecraft,gpt-4o,15036,13,7,2,4,115
The Thing on the Door-Step by H. P. Lovecraft,gpt-3.5-turbo,15169,6,4,2,0,115
Cool Air by H. P. Lovecraft,gpt-4o,4701,9,4,2,3,33
Cool Air by H. P. Lovecraft,gpt-3.5-turbo,4758,6,4,2,0,33
The Silver Key by H. P. Lovecraft,gpt-4o,6546,14,6,5,3,41
The Silver Key by H. P. Lovecraft,gpt-3.5-turbo,6593,8,6,2,0,41
The Horror at Red Hook by H. P. Lovecraft,gpt-4o,12388,12,7,5,0,61
The Horror at Red Hook by H. P. Lovecraft,gpt-3.5-turbo,12433,11,6,5,0,61
The Lurking Fear by H. P. Lovecraft,gpt-4o,10999,16,10,2,4,74
The Lurking Fear by H. P. Lovecraft,gpt-3.5-turbo,11040,10,7,2,1,74
The Haunter of the Dark by H. P. Lovecraft,gpt-4o,12793,16,8,3,5,99
The Haunter of the Dark by H. P. Lovecraft,gpt-3.5-turbo,12848,4,3,0,1,99
He by H. P. Lovecraft,gpt-4o,6080,9,5,4,0,38
He by H. P. Lovecraft,gpt-3.5-turbo,6075,7,6,1,0,38
The Shunned House by H. P. Lovecraft,gpt-4o,15293,9,4,3,2,83
The Shunned House by H. P. Lovecraft,gpt-3.5-turbo,15362,11,9,2,0,83
The Festival by H. P. Lovecraft,gpt-4o,5092,34,19,8,7,28
The Festival by H. P. Lovecraft,gpt-3.5-turbo,5081,11,5,6,0,28
Wodehouse - the Man With Two Left Feet,gpt-4o,9207,24,13,7,4,172
Wodehouse - the Man With Two Left Feet,gpt-3.5-turbo,9367,5,2,3,0,172
Wodehouse - Extricating Young Gussie,gpt-4o,10536,44,20,10,14,227
Wodehouse - Extricating Young Gussie,gpt-3.5-turbo,10771,8,7,1,0,227
Wodehouse - a Sea Of Troubles,gpt-4o,6116,28,12,6,10,108
Wodehouse - a Sea Of Troubles,gpt-3.5-turbo,6142,6,4,2,0,108
Wodehouse - Crowned Heads,gpt-4o,7813,34,25,5,4,163
Wodehouse - Crowned Heads,gpt-3.5-turbo,7988,5,3,2,0,163
Wodehouse - At Geisenheimer's,gpt-4o,8601,53,34,5,14,210
Wodehouse - At Geisenheimer's,gpt-3.5-turbo,8839,8,6,2,0,210
Wodehouse - Black For Luck,gpt-4o,8180,45,21,7,17,155
Wodehouse - Black For Luck,gpt-3.5-turbo,8269,8,5,2,1,155
Wodehouse - The Mixer,gpt-4o,15209,16,10,5,1,286
Wodehouse - The Mixer,gpt-3.5-turbo,15515,9,8,1,0,286
Wodehouse - Wilton's Holiday,gpt-4o,7012,25,12,3,10,157
Wodehouse - Wilton's Holiday,gpt-3.5-turbo,7094,7,5,2,0,157
Wodehouse - the Romance Of An Ugly Policeman,gpt-4o,7086,16,7,4,5,193
Wodehouse - the Romance Of An Ugly Policeman,gpt-3.5-turbo,7180,4,1,3,0,193
Wodehouse - the Making Of Mac's,gpt-4o,7887,24,12,3,9,182
Wodehouse - the Making Of Mac's,gpt-3.5-turbo,8125,10,10,0,0,182
Wodehouse - Bill the Bloodhound,gpt-4o,8141,13,8,3,2,151
Wodehouse - Bill the Bloodhound,gpt-3.5-turbo,8257,6,4,2,0,151
Wodehouse - One Touch Of Nature,gpt-4o,5937,9,5,4,0,141
Wodehouse - One Touch Of Nature,gpt-3.5-turbo,6012,10,7,3,0,141
Wilde - the Devoted Friend,gpt-4o,7183,68,16,11,41,1
Wilde - the Devoted Friend,gpt-3.5-turbo,6797,9,7,2,0,1
Wilde - the Remarkable Rocket,gpt-4o,7113,10,4,0,6,2
Wilde - the Remarkable Rocket,gpt-3.5-turbo,6800,7,6,1,0,2
Wilde - the Nightingale And the Rose,gpt-4o,3602,9,7,2,0,1
Wilde - the Nightingale And the Rose,gpt-3.5-turbo,3511,4,2,2,0,1
Wilde - the Happy Prince,gpt-4o,5677,31,17,7,7,1
Wilde - the Happy Prince,gpt-3.5-turbo,5431,4,4,0,0,1
Wilde - the Selfish Giant,gpt-4o,2363,11,5,3,3,4
Wilde - the Selfish Giant,gpt-3.5-turbo,2297,8,6,2,0,4
"London - Negore, the Coward",gpt-4o,6561,25,13,5,7,1
"London - Negore, the Coward",gpt-3.5-turbo,6608,7,5,2,0,1
London - The White Man's Way,gpt-4o,8257,52,26,14,12,1
London - The White Man's Way,gpt-3.5-turbo,8254,16,10,6,0,1
London - The Sun-dog Trail,gpt-4o,13035,59,35,8,16,1
London - The Sun-dog Trail,gpt-3.5-turbo,13295,20,5,6,9,1
London - The Story Of Keesh,gpt-4o,5096,10,4,2,4,1
London - The Story Of Keesh,gpt-3.5-turbo,5020,6,6,0,0,1
London - Love Of Life,gpt-4o,11544,35,13,8,14,1
London - Love Of Life,gpt-3.5-turbo,11947,10,6,4,0,1
London - Brown Wolf,gpt-4o,10075,167,49,4,114,1
London - Brown Wolf,gpt-3.5-turbo,9860,8,7,1,0,1
London - The Unexpected,gpt-4o,12480,14,8,4,2,1
London - The Unexpected,gpt-3.5-turbo,12554,7,6,1,0,1
London - A Day's Lodging,gpt-4o,10008,18,10,1,7,1
London - A Day's Lodging,gpt-3.5-turbo,9789,5,4,1,0,1
OHenry - the Skylight Room,gpt-4o,3678,17,12,2,3,55
OHenry - the Skylight Room,gpt-3.5-turbo,3561,4,3,1,0,55
OHenry - Between Rounds,gpt-4o,3660,19,6,3,10,54
OHenry - Between Rounds,gpt-3.5-turbo,3474,4,2,2,0,54
OHenry - a Service Of Love,gpt-4o,3585,22,8,5,9,52
OHenry - a Service Of Love,gpt-3.5-turbo,3454,6,4,2,0,52
OHenry - the Coming-out Of Maggie,gpt-4o,4139,15,5,2,8,56
OHenry - the Coming-out Of Maggie,gpt-3.5-turbo,3965,5,4,1,0,56
"OHenry - the Caliph, Cupid And the Clock",gpt-4o,3544,17,11,0,6,46
"OHenry - the Caliph, Cupid And the Clock",gpt-3.5-turbo,3427,8,5,2,1,46
OHenry - the Gift Of the Magi,gpt-4o,3124,19,11,5,3,44
OHenry - the Gift Of the Magi,gpt-3.5-turbo,3036,6,4,2,0,44
OHenry - Springtime À La Carte,gpt-4o,3223,13,6,3,4,48
OHenry - Springtime À La Carte,gpt-3.5-turbo,3184,4,2,2,0,48
OHenry - Mammon And the Archer,gpt-4o,4117,20,7,3,10,64
OHenry - Mammon And the Archer,gpt-3.5-turbo,3865,8,7,1,0,64
OHenry - the Romance Of a Busy Broker,gpt-4o,2158,24,10,4,10,32
OHenry - the Romance Of a Busy Broker,gpt-3.5-turbo,2092,2,1,1,0,32
OHenry - the Brief Début Of Tildy,gpt-4o,3385,14,4,3,7,40
OHenry - the Brief Début Of Tildy,gpt-3.5-turbo,3312,6,3,3,0,40
OHenry - After Twenty Years,gpt-4o,1958,29,12,1,16,32
OHenry - After Twenty Years,gpt-3.5-turbo,1863,5,3,2,0,32
OHenry - Man About Town,gpt-4o,2633,13,7,3,3,31
OHenry - Man About Town,gpt-3.5-turbo,2541,12,10,1,1,31
OHenry - By Courier,gpt-4o,2041,12,6,4,2,26
OHenry - By Courier,gpt-3.5-turbo,1976,5,5,0,0,26
OHenry - a Cosmopolite In a Café,gpt-4o,3169,12,5,2,5,31
OHenry - a Cosmopolite In a Café,gpt-3.5-turbo,3084,4,3,0,1,31
OHenry - An Adjustment Of Nature,gpt-4o,3031,10,3,2,5,40
OHenry - An Adjustment Of Nature,gpt-3.5-turbo,2935,6,3,3,0,40
OHenry - the Cop And the Anthem,gpt-4o,3397,10,8,1,1,48
OHenry - the Cop And the Anthem,gpt-3.5-turbo,3320,12,7,5,0,48
OHenry - the Green Door,gpt-4o,4067,28,18,4,6,53
OHenry - the Green Door,gpt-3.5-turbo,3989,8,4,4,0,53
OHenry - Sisters Of the Golden Circle,gpt-4o,3314,16,7,3,6,44
OHenry - Sisters Of the Golden Circle,gpt-3.5-turbo,3250,9,6,3,0,44
OHenry - Memoirs Of a Yellow Dog,gpt-4o,2848,18,6,4,8,36
OHenry - Memoirs Of a Yellow Dog,gpt-3.5-turbo,2772,7,3,1,3,36
OHenry - Lost On Dress Parade,gpt-4o,3511,15,5,5,5,47
OHenry - Lost On Dress Parade,gpt-3.5-turbo,3419,6,4,1,1,47
OHenry - the Love-philtre Of Ikey Schoenstein,gpt-4o,3017,17,10,3,4,37
OHenry - the Love-philtre Of Ikey Schoenstein,gpt-3.5-turbo,2888,4,4,0,0,37
OHenry - An Unfinished Story,gpt-4o,3540,35,10,6,19,46
OHenry - An Unfinished Story,gpt-3.5-turbo,3476,5,1,4,0,46
OHenry - From the Cabby’s Seat,gpt-4o,2679,15,9,2,4,41
OHenry - From the Cabby’s Seat,gpt-3.5-turbo,2613,7,5,2,0,41
OHenry - Tobin’s Palm,gpt-4o,4771,19,12,5,2,62
OHenry - Tobin’s Palm,gpt-3.5-turbo,4541,9,6,3,0,62
OHenry - the Furnished Room,gpt-4o,3802,14,7,3,4,42
OHenry - the Furnished Room,gpt-3.5-turbo,3732,6,4,1,1,42
Chesterton - The Hammer Of God,gpt-4o,9094,11,9,2,0,137
Chesterton - The Hammer Of God,gpt-3.5-turbo,9153,10,6,4,0,137
Chesterton - The Queer Feet,gpt-4o,10532,28,14,4,10,94
Chesterton - The Queer Feet,gpt-3.5-turbo,10575,4,2,2,0,94
Chesterton - The Sins Of Prince Saradine,gpt-4o,10510,24,9,3,12,113
Chesterton - The Sins Of Prince Saradine,gpt-3.5-turbo,10591,12,8,4,0,113
Chesterton - The Flying Stars,gpt-4o,7695,14,10,2,2,89
Chesterton - The Flying Stars,gpt-3.5-turbo,7746,8,4,3,1,89
Chesterton - The Eye Of Apollo,gpt-4o,8650,38,23,4,11,100
Chesterton - The Eye Of Apollo,gpt-3.5-turbo,8708,8,6,2,0,100
Chesterton - The Honour Of Israel Gow,gpt-4o,8088,17,9,3,5,108
Chesterton - The Honour Of Israel Gow,gpt-3.5-turbo,8130,7,6,1,0,108
Chesterton - The Blue Cross,gpt-4o,10557,16,8,4,4,127
Chesterton - The Blue Cross,gpt-3.5-turbo,10656,7,6,1,0,127
Chesterton - The Secret Garden,gpt-4o,10901,54,21,3,30,152
